ID	Name	URL	Year	Author	Domain	Venue
399	Design and Analysis of Machine Learning Experiments	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap19.pdf	2014	Ethem AlpaydÄ±n	ml	Boğaziçi University
400	Sequential Monte Carlo (Continued) and Conditional Linear Gaussian Models	https://www.dropbox.com/s/z5c5vlfut4mw8ia/Lec21-ConditionalLinearGaussianModels.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
401	Importance Sampling Prof. Nicholas Zabaras	https://www.dropbox.com/s/jv0r65uxy1gty9v/Lec15-ImportanceSampling.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
402	Robbins-Monro for Sequential MLE, Curse of Dimensionality, Conditional and Marginal Gaussian Distributions	https://www.dropbox.com/s/j54clc30s2nthm5/Lec4-RobbinsMonro-CurseOfDimensionality-ConditionalGaussians.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
403	Implementation of Bayesian Regression and Variable Selection	https://www.dropbox.com/s/pk2caw144nvzjcd/Lec12-CaterpillarRegressionExample.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
404	Exponential Family and Generalized Linear Models	https://www.dropbox.com/s/q31dbbt01wqa071/Lec7-ExponentialFamilyGLMBayesianInf4MultivariateGaussian.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
405	Mixture Models and Expectation-Maximization	https://www.dropbox.com/s/im3aw07lwe3eo5h/Lec24-MoreOnExpectationMaximization.pdf?dl=0â€™	2017	Nicholas Zabaras	ml	Notre  Dame
406	Introduction to Probability and Statistics	https://www.dropbox.com/s/f10vs0qrkh7428a/Lec2-IntroToProbabilityAndStatistics.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
407	Prior and Hierarchical Modeling	https://www.dropbox.com/s/y6m9f11sshugfnw/Lec8-PriorHierarchicalModels.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
408	Introduction to Bayesian Linear Regression, Model Comparison and Selection	https://www.dropbox.com/s/ecp5tkeefd7h47h/Lec9-Intro2RegressionOccamsRazor.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
409	Kernel Methods and Introduction to Gaussian Processes	https://www.dropbox.com/s/2yonhmzn57lvv1d/Lec27-KernelMethods.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
410	Gaussian Processes for Classification Problems, Course Summary	https://www.dropbox.com/s/54pudgwif0zo8mt/Lec28-Summary.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
411	Statistical Computing for Scientists and Engineers	https://www.dropbox.com/s/121sglcweantr2d/Lec1-IntroToProbabilityAndStatistics.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
412	Variable Dimension Models: Reversible Jump MCMC	https://www.dropbox.com/s/i7d28g05ikfpt79/Lec22-ReversibleJumpMCMC.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
413	Continuous Latent Variable Models: Probabilistic and Bayesian PCA,Kernel PCA	https://www.dropbox.com/s/xhe95z6yoic8207/Lec26-ContinuousLatentVariableModels.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
414	Sequential Monte Carlo (Continued) and Conditional Linear Gaussian Models	https://www.dropbox.com/s/z5c5vlfut4mw8ia/Lec21-ConditionalLinearGaussianModels.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
415	Introduction to Bayesian Statistics, Exponential Family of Distributions	https://www.dropbox.com/s/ggwvlumy240o6fk/Lec6-Intro2BayesianStatisticsAndTheExponentialFamily.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
416	Gibbs Sampling	https://www.dropbox.com/s/g2s1g9u9vj6779o/Lec16-GibbsSampling.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
417	Reverse Sampling, Transformation Methods, Composition Methods, Accept-Reject Methods, Stratified/Systematic Sampling	https://www.dropbox.com/s/b18tdp81l9mx45z/Lec14-RandomVariableGeneration.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
418	Information Theory, Multivariate Gaussian, MLE Estimation, Robbins-Monro algorithm	https://www.dropbox.com/s/q23vr7ok2nkc2gg/Lec3-InfoTheory-CLTApplications-MLE.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
419	Introduction to State Space Models and Sequential Importance Sampling	https://www.dropbox.com/s/pb555x6z5i8kxd8/Lec18-Intro2StateSpaceModelsAndSequentialImportanceSampling.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
420	Introduction to Monte Carlo Methods, Sampling from Discrete and Continuum Distributions	https://www.dropbox.com/s/a8wyucgomltz8sa/Lec13-MonteCarloMethods.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
421	Markov Chain Monte Carlo and Metropolis-Hasting Algorithm	https://www.dropbox.com/s/ek4n2cxtr8pfv7x/Lec17-MetropolisHastings.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
422	Principal Component Analysis	https://www.dropbox.com/s/xf20q0jagldxvnj/Lec25-Intro2PCA.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
423	Sequential Importance Sampling with Resampling	https://www.dropbox.com/s/vl10u6yrj7yenny/Lec19-SequentialImportanceSamplingResampling.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
424	Bayesian Linear Regression (continued)	https://www.dropbox.com/s/d6zruv69fmu5wmi/Lec11-RegressionModelsB.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
425	Bayesian Regression	https://www.dropbox.com/s/zt6w0wwmg866xtx/Lec10-RegressionModelsA.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
426	Introduction to Expectation-Maximization (EM)	https://www.dropbox.com/s/2xoalhj26sh4da2/Lec23-IntroductiontoExpectationMaximization.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
427	Likelihood calculations, MAP estimate and Regularized Least Squares, Linear Gaussian Models	https://www.dropbox.com/s/5wethziitk5wzmk/Lec5-Likelihood-MAP-GaussianLinearSystems.pdf?dl=0	2017	Nicholas Zabaras	ml	Notre  Dame
428	Decision trees	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture11.pdf	2016	David Sontag	ml	New York University
429	Unsupervised learning (part1)	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture19.pdf	2016	David Sontag	ml	New York University
430	Gradient, Subgradient and how they may affect your grade(ient)	http://people.csail.mit.edu/dsontag/courses/ml16/slides/notes_convexity16.pdf	2016	David Sontag	ml	New York University
431	Hierarchical & Spectral clustering	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture13.pdf	2016	David Sontag	ml	New York University
432	Introduction to Bayesian methods continued 2	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture17.pdf	2016	David Sontag	ml	New York University
433	Support Vector Machines: Kernels	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture13.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
434	Neural Networks	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture9_10.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
435	Linear classification: Logistic Regression	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture7.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
436	Mining Frequent Patterns and Association Rules	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture17.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
437	Bootstrapping and Face Detection Application	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture15.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
438	K-Means, GMMs and EM	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture21.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
439	Support Vector Machines: primal, dual forms and soft-margin	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture12.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
440	Ensemble Methods:Boosting, Bagging and Random Forests	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture14.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
441	Maximum Likelihood and Gaussian Models	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture16.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
442	Basic Concepts K-nearest neighbors	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture2.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
443	Basic Concepts II	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture3.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
444	Naive Bayes Classifier	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture18.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
445	Linear Regression, Ridge regression, and Lasso	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture5.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
446	Tree Classifiers (Decision Trees)	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture8.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
447	Linear Classification: Perceptron	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture6.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
448	Mining Frequent Patterns and Association Rules (continued)	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture17_complement.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
449	Introduction	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture1.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
450	Naive Bayes: Text Classification	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture20.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
451	Linear Regression, Least Squares and Gradient Descent	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture4.pdf	2014	Ansaf Salleb-Aouissi	ml	Columbia University
452	Neural Style	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec13c.pdf	2018	Roger Grosse	ml	University of Toronto
453	Backpropagation	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec6.pdf	2018	Roger Grosse	ml	University of Toronto
454	Introduction	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec1.pdf	2018	Roger Grosse	ml	University of Toronto
455	Multilayer Perceptrons	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec5.pdf	2018	Roger Grosse	ml	University of Toronto
456	Optimization	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec7.pdf	2018	Roger Grosse	ml	University of Toronto
457	Recurrent Neural Networks	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec14.pdf	2018	Roger Grosse	ml	University of Toronto
458	ResNets and Attention	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec16.pdf	2018	Roger Grosse	ml	University of Toronto
459	Distributed Representations	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec10.pdf	2018	Roger Grosse	ml	University of Toronto
460	Mixture Modeling	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec18.pdf	2018	Roger Grosse	ml	University of Toronto
461	Boltzmann Machines	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec19.pdf	2018	Roger Grosse	ml	University of Toronto
462	Go	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec23.pdf	2018	Roger Grosse	ml	University of Toronto
463	Intro to Machine Learning and Neural Networks	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec13b.pdf	2018	Roger Grosse	ml	University of Toronto
464	Convolutional Networks	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec11.pdf	2018	Roger Grosse	ml	University of Toronto
465	Learning Probabilistic Models	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec17.pdf	2018	Roger Grosse	ml	University of Toronto
466	Python	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec8a.pdf	2018	Roger Grosse	ml	University of Toronto
467	Adversarial Learning	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec22.pdf	2018	Roger Grosse	ml	University of Toronto
468	Autoencoders	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec20.pdf	2018	Roger Grosse	ml	University of Toronto
469	Image Classification	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec12.pdf	2018	Roger Grosse	ml	University of Toronto
470	Vote	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec3.pdf	2018	Roger Grosse	ml	University of Toronto
471	Generalization	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec9.pdf	2018	Roger Grosse	ml	University of Toronto
472	Learning a Classier	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec4.pdf	2018	Roger Grosse	ml	University of Toronto
473	Exploding and Vanishing Gradients	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec15.pdf	2018	Roger Grosse	ml	University of Toronto
474	Neural Networks for Machine Learning	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec20_hinton.pdf	2018	Roger Grosse	ml	University of Toronto
475	Implementing autograd	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec8b.pdf	2018	Roger Grosse	ml	University of Toronto
476	Understanding How ConvNets Works	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec13a.pdf	2018	Roger Grosse	ml	University of Toronto
477	Bayesian Hyperparameter Optimization	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec21.pdf	2018	Roger Grosse	ml	University of Toronto
478	Linear Regression	http://www.cs.toronto.edu/~rgrosse/courses/csc321_2018/slides/lec2.pdf	2018	Roger Grosse	ml	University of Toronto
479	Optimization for ML	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture7-opt.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
480	Support vector machines (SVMs)	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture12-svm.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
481	Backpropagation	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture20-backprop.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
482	Learning Theory	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture13-theory.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
483	Gaussian Naive Bayes	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture6-gnb.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
484	The Probabilistic Approach to Learning from Data	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture4-prob.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
485	Machine Learning in Practice + k-Nearest Neighbors	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture2-knn.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
486	Perceptron and Kernels	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture11-kernels.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
487	Overview	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture1-overview.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
488	CNNs	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture21-cnn.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
489	Logistic Regression, Nonlinear Features, Regularization	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture9-logreg.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
490	K-Means and GMMs	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture16-gmm.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
491	Linear Regression	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture8-linreg.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
492	k-Nearest Neighbors	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture3-exp.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
493	Clustering(K-Means)	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture15-cluster.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
494	Midterm	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture14-midterm.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
495	PCA and Neural Networks	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture18-pca.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
496	Bayesian Networks	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture22-bayesnet1.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
497	Neural Networks and Backpropagation	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture19-nn.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
498	EM and PCA	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture17-em.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
499	MLE/MAP and Naïve Bayes	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture5-nb.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
500	Regularization and Perceptron	http://www.cs.cmu.edu/~mgormley/courses/10601-s17/slides/lecture10-perc.pdf	2016	Matt Gormley	ml	Carnegie Mellon University
501	Naive Bayes	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/03_MLE_MAP_NBayes-1-21-2015_ann.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
502	Machine Learning and Differential Privacy	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/26_privacy_4-22-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
503	Support Vector Machines (SVMs)	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/18_svm-ssl_03-25-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
504	Reinforcement Learning	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/25_rl_4-20-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
505	Sample Complexity for Function Approximation and Model Selection	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/10_Theory3_2-16-2015.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
506	Bayesian Network	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/12_GrMod1_2-23-2015-ann.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
507	PCA, Kernel PCA, ICA Learning Representations. Dimensionality Reduction.	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/22_pca-04-09-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
508	Boosting Approach to ML Perceptron, Margins, Kernels	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/16_boosting-percepton-margins_03-18-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
509	Graphical models and Bayes Nets	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/13_GrMod3_2-25-2015-ann.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
510	Bayes Rule and Estimating parameters	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/03_MLE_MAP_NBayes-1-21-2015.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
511	The Boosting Approach to Machine Learning	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/15_boosting_3-16-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
512	Bias, Variance and Error	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/11_GrMod1_2-18-2015-ann.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
513	Semi-Supervised Learning	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/19_ssl_03-30-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
514	Math Review and Decision Trees	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/r01_math_decision_trees.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
515	Graphical models and Bayes Nets	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/11_GrMod1_2-18-2015.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
516	Machine Learning Theory II	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/09_Theory2_2-11-2015.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
517	Naive Bayes	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/05_GNB_1-28-2015.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
518	Overfitting and probability	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/02_Overfitting_ProbReview-1-14-2015_ann.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
519	Never-Ending Language Learning	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/23_nell_4-13-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
520	Naive Bayes	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/04_NBayes-1-26-2015.pptx.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
521	Overfitting and probability	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/02_Overfitting_ProbReview-1-14-2015.pdf	2015	Tom M. Mitchell	ml	Carnegie Mellon University
522	Clustering. Unsupervised Learning	http://www.cs.cmu.edu/~ninamf/courses/601sp15/slides/21_clustering_4-6-2015.pdf	2015	Maria-Florina Balcan	ml	Carnegie Mellon University
523	Evaluation	http://www.seas.upenn.edu/~cis519/spring2018/assets/lectures/lecture-3/03-eval.pdf	2018	Dan Roth	ml	University of Pennsylvania
524	Lecture Introduction	http://www.seas.upenn.edu/~cis519/spring2018/assets/lectures/lecture-0/00-LecIntro.pdf	2018	Dan Roth	ml	University of Pennsylvania
525	Neural Networks	http://www.seas.upenn.edu/~cis519/spring2018/assets/lectures/lecture-8/08-LecNN.pdf	2018	Dan Roth	ml	University of Pennsylvania
526	Probability and Bayes Theorem	http://www.seas.upenn.edu/~cis519/spring2018/assets/lectures/lecture-9/09-LecBayes.pdf	2018	Dan Roth	ml	University of Pennsylvania
527	Decision Trees	http://www.seas.upenn.edu/~cis519/spring2018/assets/lectures/lecture-2/02-LecDT.pdf	2018	Dan Roth	ml	University of Pennsylvania
528	Perceptron	http://www.seas.upenn.edu/~cis519/spring2018/assets/lectures/lecture-4/04-LecOnLine.pdf	2018	Dan Roth	ml	University of Pennsylvania
529	Support Vector Machines	http://www.seas.upenn.edu/~cis519/spring2018/assets/lectures/lecture-6/06-LecSVM.pdf	2018	Dan Roth	ml	University of Pennsylvania
530	RNN and Memory	https://github.com/joanbruna/stat212b/blob/master/lec13.pdf	2016	Joan Bruna	ml	GitHub
531	Classification with Scattering	https://github.com/joanbruna/stat212b/blob/master/lec6.pdf	2016	Joan Bruna	ml	GitHub
532	Introduction	https://github.com/joanbruna/stat212b/blob/master/lec1.pdf	2016	Joan Bruna	ml	GitHub
533	Seperable Scattering Operators	https://github.com/joanbruna/stat212b/blob/master/lec5.pdf	2016	Joan Bruna	ml	GitHub
534	CNN and near-diagonalisation	https://github.com/joanbruna/stat212b/blob/master/lec7.pdf	2016	Joan Bruna	ml	GitHub
535	Sequence Structured Prediction	https://github.com/joanbruna/stat212b/blob/master/lec14.pdf	2016	Joan Bruna	ml	GitHub
536	Latent Graphical Models	https://github.com/joanbruna/stat212b/blob/master/lec16.pdf	2016	Joan Bruna	ml	GitHub
537	Embeddings, Extensions to Non-Euclidean Domains, Representations of Stationary Processes	https://github.com/joanbruna/stat212b/blob/master/lec10.pdf	2016	Joan Bruna	ml	GitHub
538	Gibbs models	https://github.com/joanbruna/stat212b/blob/master/lec18.pdf	2016	Joan Bruna	ml	GitHub
539	GAN, MCMC, Self-Supervised Learning	https://github.com/joanbruna/stat212b/blob/master/lec17.pdf	2016	Joan Bruna	ml	GitHub
540	Discrete Neural Turing Machines	https://github.com/joanbruna/stat212b/blob/master/lec11_guest_wojciechzaremba.pdf	2016	Joan Bruna	ml	GitHub
541	Representation of Stationary Process	https://github.com/joanbruna/stat212b/blob/master/lec12.pdf	2016	Joan Bruna	ml	GitHub
542	Transformation Groups	https://github.com/joanbruna/stat212b/blob/master/lec3.pdf	2016	Joan Bruna	ml	GitHub
543	Random Forests	https://github.com/joanbruna/stat212b/blob/master/lec9.pdf	2016	Joan Bruna	ml	GitHub
544	Local invariants and convolution	https://github.com/joanbruna/stat212b/blob/master/lec4.pdf	2016	Joan Bruna	ml	GitHub
545	Auto encoders	https://github.com/joanbruna/stat212b/blob/master/lec15.pdf	2016	Joan Bruna	ml	GitHub
546	Selection Models	https://github.com/joanbruna/stat212b/blob/master/lec8.pdf	2016	Joan Bruna	ml	GitHub
547	Classification, kernels and metrics	https://github.com/joanbruna/stat212b/blob/master/lec2.pdf	2016	Joan Bruna	ml	GitHub
548	Information Retrieval 3	https://course.ccs.neu.edu/cs6200f13/cs6200-f13-3.pdf	2013	David Smith	ir	Northeastern University
549	Information Retrieval 1	https://course.ccs.neu.edu/cs6200f13/cs6200-f13-1.pdf	2013	David Smith	ir	Northeastern University
550	Information Retrieval 8	https://course.ccs.neu.edu/cs6200f13/cs6200-f13-8.pdf	2013	David Smith	ir	Northeastern University
551	Information Retrieval 4	https://course.ccs.neu.edu/cs6200f13/cs6200-f13-4.pdf	2013	David Smith	ir	Northeastern University
552	Information Retrieval 5	https://course.ccs.neu.edu/cs6200f13/cs6200-f13-5.pdf	2013	David Smith	ir	Northeastern University
553	Information Retrieval 7	https://course.ccs.neu.edu/cs6200f13/cs6200-f13-7.pdf	2013	David Smith	ir	Northeastern University
554	Information Retrieval 6	https://course.ccs.neu.edu/cs6200f13/cs6200-f13-6.pdf	2013	David Smith	ir	Northeastern University
555	Information Retrieval 2	https://course.ccs.neu.edu/cs6200f13/cs6200-f13-2.pdf	2013	David Smith	ir	Northeastern University
556	Experiences with MapReduce, an Abstraction for Large-Scale Computation	http://web.stanford.edu/class/cs276/handouts/mapreduce-pact06-keynote.pdf	2017	Christopher Manning	ir	Stanford University
557	Hypertext and Link Analysis	http://web.stanford.edu/class/cs276/handouts/lecture17-linkanalysis-six-per-page.pdf	2017	Christopher Manning	ir	Stanford University
558	Efficient Scoring	http://web.stanford.edu/class/cs276/handouts/lecture10-efficient-scoring-six-per-page.pdf	2017	Christopher Manning	ir	Stanford University
559	Introducing Information Retrieval and Web Search	http://web.stanford.edu/class/cs276/handouts/lecture1-intro-handout-1-per.pdf	2017	Christopher Manning	ir	Stanford University
560	Distributed representations	http://web.stanford.edu/class/cs276/handouts/lecture20-distributed-representations-6up.pdf	2017	Christopher Manning	ir	Stanford University
561	Tolerant Retrieval	http://web.stanford.edu/class/cs276/handouts/lecture3-tolerant-retrieval-handout-6-per.pdf	2017	Christopher Manning	ir	Stanford University
562	Text Classification 1	http://web.stanford.edu/class/cs276/handouts/lecture12-textcat.pdf	2017	Christopher Manning	ir	Stanford University
563	Ranking Principle	http://web.stanford.edu/class/cs276/handouts/lecture11-probir-6up.pdf	2017	Christopher Manning	ir	Stanford University
564	Compression	http://web.stanford.edu/class/cs276/handouts/lecture5-compression-handout-6-per.pdf	2017	Christopher Manning	ir	Stanford University
